2:4	email	screencapture-klaviyo-01JRGGJ9NM	600	3353
2:5	email	081125 - Magic Melon Launch	600	2436
2:6	email	FULL EMAIL (3)	600	3945
2:7	email	FULL EMAIL (2)	600	2617
2:8	email	FULL EMAIL (1)	600	2436
2:9	email	100125 - Breast Cancer Awareness Month	600	1439
2:10	email	Slice 5	600	3526
2:11	email	FULL EMAIL	600	3268
2:12	email	FULL EMAIL (6)	600	3526
2:13	email	FULL EMAIL (5)	600	4637
2:14	email	FULL EMAIL (4)	599	3816
2:15	email	FULL EMAIL (7)	600	4896
2:16	email	image	600	3983
2:17	email	screencapture-klaviyo-01JTNJ658E	600	3551
2:18	email	image 1	600	3508
2:19	email	Slice 37 (4)	600	1537
2:20	email	Showcase Email 1b	600	3977
2:21	email	Showcase Email 5	600	3466
2:22	email	BBQGuys-04	600	4412
2:23	email	BBQGuys-01	600	4735
18:2	email	Slice 7 1	600	1727
18:3	email	giffycanvas (1)	600	657
18:4	email	Slice 4 1	600	2536
18:19	email	Slice 6 1	600	4049
18:917	email	Slice 5 b	600	3409
18:918	email	Email #1	600	3348
18:919	email	Slice 4-1	600	3042
18:920	email	Slice 5-3	600	2560
18:921	email	Slice 8 1	600	4809
137:1476	email	Frame 1 group38	600	4709
137:1475	email	Frame 6 group37	600	5938
140:34	email	Slice 7 2	600	2902
140:33	email	Slice 5 1	600	3526
140:32	email	Slice 3 8	600	2799
140:31	email	Slice 3-1 1	600	2334
140:30	email	Slice 5 (1) 1	600	3546
179:30	email	Frame 1 3	600	4915
242:187	email	012326 - Comfort That Moves With You	600	4807
450:34	email	screencapture-klaviyo-01K07XSTE2	600	5980
450:35	email	Saucony Hurricane	600	2957
3:2	branding	Manara Branding	1200	2547
3:3	branding	Behance portfolio editor	1200	6761
3:4	branding	Cafe branding case	1200	5041
3:5	branding	Pilates Studio	1200	8165
3:6	branding	Dra Nancy Valdes Branding	1200	12701
3:17	branding	cafe cafe branding 10 pages	6749	1200
3:19	social	509357074 IG	1000	1222
3:20	social	514269744 IG	1000	1221
3:21	social	543121960 IG	1000	1222
3:22	social	542499596 IG	1000	1222
3:23	social	547227063 IG	1000	1222
3:24	social	556878618 IG	1000	1219
3:25	social	481214010 IG	1000	1000
3:26	social	481163661 IG	1000	1000
3:27	social	494582340 IG	1000	1250
3:28	social	504004847 IG	1000	1250
3:29	social	493347970 IG	1000	1250
3:30	social	518298072 IG	1000	1229
3:31	social	541445993 IG	1000	1222
3:32	social	541641850 IG	1000	1222
3:33	social	556629202 IG	1000	1233
3:34	social	558336114 IG	1000	1250
18:5	social	508318913 IG	1000	1251
18:6	social	545748723 IG	1000	1251
18:7	social	475356338 IG	1001	1251
18:8	social	462773506 IG	1251	1251
18:13	social	462773506 IG b	1251	1251
18:9	social	491058245 IG 1	1000	1250
18:15	social	491058245 IG 4	1000	1250
18:16	social	491058245 IG 5	1000	1250
18:17	social	491058245 IG 6	1000	1250
18:18	social	491058245 IG 7	1000	1250
18:10	social	491058245 IG 2	1000	1250
18:11	social	491058245 IG 3	1000	1250
3:41	web	villastarimlin	1920	9697
3:42	web	easynerdy	1920	6642
9:3	web	image 2	1844	4096
9:6	web	image 3	1852	6082
61:3	web	image 4	1852	5239
97:418	web	1920w default	1852	6332
137:618	web	1440w light	1852	7971
137:1477	web	390w light mobile	750	13224
137:1478	web	1512w default	1852	4217
171:36	instore	DTD Fridge Takeover Mockup 1	2287	2525
171:37	instore	DTD Fridge Takeover Mockup 2	2287	2525
171:38	instore	DTD Fridge Takeover Mockup 3	2287	2525
171:35	instore	Protein+ Fridge IGA Side 2	1894	2525
171:31	instore	0807 Generic Shot Fridge Side 1	2145	2859
171:32	instore	0807 Generic Shot Fridge Side 2	2145	2859
171:33	instore	0819 Generic Shot Fridge Side 1	2145	2859
171:34	instore	0819 Generic Shot Fridge Side 2	2145	2859
171:39	instore	Grocery Activation Fridge Side A	2135	2758
171:40	instore	Grocery Activation Fridge Side B	2135	2758
171:42	instore	Display Option 1	6538	3378
171:44	instore	Display Option 2	6538	3378
171:45	instore	Display Option 3	6538	3378
156:95	ads	GH 20 Off HD Banner 2000x730	1472	537
156:96	ads	GH 20 Off HD Banner 800x800	1472	1472
156:100	ads	Ad_1	1472	1472
